date,home_team,away_team,score
19-08-2023,Augsburg,M''gladbach,8 - 7
27-08-2023,Bayern Munich,Augsburg,10 - 4
02-09-2023,Augsburg,Bochum,3 - 5
16-09-2023,RB Leipzig,Augsburg,1 - 6
23-09-2023,Augsburg,Mainz,3 - 4
01-10-2023,Freiburg,Augsburg,2 - 3
07-10-2023,Augsburg,Darmstadt,4 - 4
22-10-2023,Heidenheim,Augsburg,6 - 5
28-10-2023,Augsburg,Wolfsburg,5 - 5
04-11-2023,FC Koln,Augsburg,10 - 2
11-11-2023,Augsburg,Hoffenheim,3 - 5
25-11-2023,Union Berlin,Augsburg,3 - 4
03-12-2023,Augsburg,Ein Frankfurt,2 - 4
09-12-2023,Werder Bremen,Augsburg,-
18-08-2023,Werder Bremen,Bayern Munich,0 - 6
27-08-2023,Bayern Munich,Augsburg,10 - 4
02-09-2023,M''gladbach,Bayern Munich,1 - 15
15-09-2023,Bayern Munich,Leverkusen,7 - 4
23-09-2023,Bayern Munich,Bochum,8 - 1
30-09-2023,RB Leipzig,Bayern Munich,5 - 1
08-10-2023,Bayern Munich,Freiburg,7 - 1
21-10-2023,Mainz,Bayern Munich,2 - 7
28-10-2023,Bayern Munich,Darmstadt,7 - 1
04-11-2023,Dortmund,Bayern Munich,3 - 2
11-11-2023,Bayern Munich,Heidenheim,7 - 2
24-11-2023,FC Koln,Bayern Munich,3 - 12
09-12-2023,Ein Frankfurt,Bayern Munich,-
19-08-2023,Stuttgart,Bochum,6 - 0
26-08-2023,Bochum,Dortmund,5 - 4
02-09-2023,Augsburg,Bochum,3 - 5
16-09-2023,Bochum,Ein Frankfurt,8 - 2
23-09-2023,Bayern Munich,Bochum,8 - 1
30-09-2023,Bochum,M''gladbach,5 - 10
07-10-2023,RB Leipzig,Bochum,9 - 1
21-10-2023,Freiburg,Bochum,5 - 2
27-10-2023,Bochum,Mainz,5 - 4
03-11-2023,Darmstadt,Bochum,11 - 2
11-11-2023,Bochum,FC Koln,3 - 3
26-11-2023,Heidenheim,Bochum,6 - 5
02-12-2023,Bochum,Wolfsburg,6 - 6
08-12-2023,Hoffenheim,Bochum,4 - 5
20-08-2023,Ein Frankfurt,Darmstadt,7 - 3
26-08-2023,Darmstadt,Union Berlin,3 - 5
02-09-2023,Leverkusen,Darmstadt,4 - 2
17-09-2023,Darmstadt,M''gladbach,6 - 6
22-09-2023,Stuttgart,Darmstadt,5 - 4
01-10-2023,Darmstadt,Werder Bremen,2 - 4
07-10-2023,Augsburg,Darmstadt,4 - 4
21-10-2023,Darmstadt,RB Leipzig,6 - 0
28-10-2023,Bayern Munich,Darmstadt,7 - 1
03-11-2023,Darmstadt,Bochum,11 - 2
